"Rk","Player","Age","Game","GS","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_","X3P_","FT_","MP_1","PTS_1","TRB_1","AST_1","STL_1","BLK_1","Round","Team"
"3","Jose Barea","30","5","2","154","25","57","4","16","5","6","5","19","24","37","4","0","14","17","59","0.439","0.25","0.833","30.7","11.8","4.8","7.4","0.8","0","1","DAL"
"4","Al-Farouq Aminu","24","5","2","150","17","31","7","11","15","19","14","22","36","6","10","8","6","15","56","0.548","0.636","0.789","30","11.2","7.2","1.2","2","1.6","1","DAL"
"5","Tyson Chandler","32","5","5","160","19","29","0","0","13","26","27","27","54","1","3","6","5","16","51","0.655",,"0.5","32.1","10.2","10.8","0.2","0.6","1.2","1","DAL"
"6","Amare Stoudemire","32","5","0","75","15","35","0","0","9","13","7","9","16","3","1","3","7","16","39","0.429",,"0.692","15","7.8","3.2","0.6","0.2","0.6","1","DAL"
"7","Charlie Villanueva","30","5","0","43","11","25","8","19","0","0","4","9","13","3","1","1","0","10","30","0.44","0.421",,"8.7","6","2.6","0.6","0.2","0.2","1","DAL"
"8","Devin Harris","31","4","0","74","8","23","0","11","8","9","1","7","8","4","2","0","4","10","24","0.348","0","0.889","18.4","6","2","1","0.5","0","1","DAL"
"9","Rajon Rondo","28","2","2","37","9","20","1","2","0","0","1","1","2","6","0","0","2","6","19","0.45","0.5",,"18.6","9.5","1","3","0","0","1","DAL"
"10","Richard Jefferson","34","4","2","51","5","14","3","8","2","2","0","2","2","1","2","0","3","9","15","0.357","0.375","1","12.7","3.8","0.5","0.3","0.5","0","1","DAL"
"11","Raymond Felton","30","3","1","36","4","15","0","4","3","3","1","6","7","4","0","0","0","1","11","0.267","0","1","12","3.7","2.3","1.3","0","0","1","DAL"
"12","Chandler Parsons","26","1","1","37","5","15","0","4","0","0","0","6","6","2","0","0","1","1","10","0.333","0",,"36.8","10","6","2","0","0","1","DAL"
"13","Bernard James","29","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"1.9","0","0","0","0","0","1","DAL"
"14","Dwight Powell","23","2","0","3","0","1","0","0","0","0","0","1","1","1","0","0","0","1","0","0",,,"1.3","0","0.5","0.5","0","0","1","DAL"
"15","Greg Smith","24","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0.7","0","0","0","0","0","1","DAL"
"1","Stephen Curry","26","4","4","159","43","95","20","48","29","34","4","17","21","29","5","0","16","12","135","0.453","0.417","0.853","39.8","33.8","5.3","7.3","1.3","0","1","GS"
"2","Klay Thompson","24","4","4","151","36","74","16","33","12","16","2","11","13","8","3","5","7","9","100","0.486","0.485","0.75","37.8","25","3.3","2","0.8","1.3","1","GS"
"3","Draymond Green","24","4","4","166","23","48","6","17","11","17","12","39","51","25","10","5","10","16","63","0.479","0.353","0.647","41.6","15.8","12.8","6.3","2.5","1.3","1","GS"
"4","Harrison Barnes","22","4","4","126","13","30","3","7","5","8","10","15","25","9","4","3","2","5","34","0.433","0.429","0.625","31.4","8.5","6.3","2.3","1","0.8","1","GS"
"5","Andrew Bogut","30","4","4","111","12","19","0","0","1","4","10","26","36","9","3","8","6","14","25","0.632",,"0.25","27.7","6.3","9","2.3","0.8","2","1","GS"
"6","Andre Iguodala","31","4","0","112","9","29","2","16","5","9","3","10","13","11","2","0","0","7","25","0.31","0.125","0.556","28","6.3","3.3","2.8","0.5","0","1","GS"
"7","Leandro Barbosa","32","4","0","49","10","22","0","3","4","5","3","2","5","2","0","0","3","3","24","0.455","0","0.8","12.2","6","1.3","0.5","0","0","1","GS"
"8","Shaun Livingston","29","4","0","63","7","14","0","0","3","5","3","3","6","7","1","1","1","6","17","0.5",,"0.6","15.9","4.3","1.5","1.8","0.3","0.3","1","GS"
"9","Marreese Speights","27","4","0","28","3","15","0","0","1","2","5","4","9","3","1","3","1","5","7","0.2",,"0.5","7","1.8","2.3","0.8","0.3","0.8","1","GS"
"10","Festus Ezeli","25","4","0","19","1","4","0","0","3","6","4","3","7","0","0","0","2","2","5","0.25",,"0.5","4.8","1.3","1.8","0","0","0","1","GS"
"1","Anthony Davis","21","4","4","172","47","87","0","2","32","36","9","35","44","8","5","12","13","12","126","0.54","0","0.889","42.9","31.5","11","2","1.3","3","1","NOL"
"2","Eric Gordon","26","4","4","143","28","63","13","32","5","6","2","7","9","15","2","2","10","11","74","0.444","0.406","0.833","35.8","18.5","2.3","3.8","0.5","0.5","1","NOL"
"3","Ryan Anderson","26","4","0","95","16","36","5","12","6","6","7","10","17","9","0","2","4","12","43","0.444","0.417","1","23.7","10.8","4.3","2.3","0","0.5","1","NOL"
"4","Tyreke Evans","25","4","4","125","14","43","2","11","10","17","3","17","20","20","5","1","6","10","40","0.326","0.182","0.588","31.3","10","5","5","1.3","0.3","1","NOL"
"5","Norris Cole","26","4","0","106","15","36","3","14","2","3","1","6","7","7","0","1","8","15","35","0.417","0.214","0.667","26.4","8.8","1.8","1.8","0","0.3","1","NOL"
"6","Quincy Pondexter","26","4","4","124","10","28","3","10","6","7","3","17","20","12","7","0","1","13","29","0.357","0.3","0.857","31.1","7.3","5","3","1.8","0","1","NOL"
"7","Dante Cunningham","27","4","0","75","9","11","0","0","3","3","4","14","18","2","3","4","0","7","21","0.818",,"1","18.8","5.3","4.5","0.5","0.8","1","1","NOL"
"8","Jrue Holiday","24","3","0","55","7","19","1","4","4","4","2","1","3","13","2","1","5","3","19","0.368","0.25","1","18.2","6.3","1","4.3","0.7","0.3","1","NOL"
"9","Alexis Ajinca","26","3","0","10","4","4","0","0","0","0","0","1","1","1","1","0","0","2","8","1",,,"3.5","2.7","0.3","0.3","0.3","0","1","NOL"
"10","Omer Asik","28","4","4","79","2","10","0","0","4","7","12","17","29","6","5","0","5","10","8","0.2",,"0.571","19.8","2","7.3","1.5","1.3","0","1","NOL"
"1","Al Horford","28","6","6","208","46","92","2","4","7","8","20","39","59","26","6","14","11","12","101","0.5","0.5","0.875","34.6","16.8","9.8","4.3","1","2.3","2","ATL"
"2","DeMarre Carroll","28","6","6","212","37","73","11","27","15","19","10","29","39","9","8","2","6","7","100","0.507","0.407","0.789","35.3","16.7","6.5","1.5","1.3","0.3","2","ATL"
"3","Jeff Teague","26","6","6","199","35","87","7","19","21","24","8","16","24","42","7","2","17","13","98","0.402","0.368","0.875","33.2","16.3","4","7","1.2","0.3","2","ATL"
