"Rk","Player","Age","Game","GS","MP","FG","FGA","X3P","X3PA","FT","FTA","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","FG_","X3P_","FT_","MP_1","PTS_1","TRB_1","AST_1","STL_1","BLK_1","Round","Team"
"3","Harrison Barnes","22","6","6","203","31","57","4","16","11","15","9","18","27","9","2","5","11","11","77","0.544","0.25","0.733","33.8","12.8","4.5","1.5","0.3","0.8","2","GS"
"4","Draymond Green","24","6","6","204","24","62","9","35","18","23","11","39","50","26","11","4","20","25","75","0.387","0.257","0.783","34.1","12.5","8.3","4.3","1.8","0.7","2","GS"
"5","Andre Iguodala","31","6","0","164","21","41","11","23","7","12","3","23","26","19","4","2","3","7","60","0.512","0.478","0.583","27.3","10","4.3","3.2","0.7","0.3","2","GS"
"6","Andrew Bogut","30","6","6","148","14","25","0","1","0","0","13","34","47","11","6","12","8","25","28","0.56","0",,"24.6","4.7","7.8","1.8","1","2","2","GS"
"7","Shaun Livingston","29","6","0","95","9","14","0","0","4","4","2","9","11","8","2","2","7","6","22","0.643",,"1","15.8","3.7","1.8","1.3","0.3","0.3","2","GS"
"8","Marreese Speights","27","3","0","23","7","14","0","0","7","11","0","7","7","0","2","0","2","6","21","0.5",,"0.636","7.6","7","2.3","0","0.7","0","2","GS"
"9","Leandro Barbosa","32","6","0","48","7","13","2","3","4","5","1","3","4","5","1","0","5","7","20","0.538","0.667","0.8","8","3.3","0.7","0.8","0.2","0","2","GS"
"10","David Lee","31","5","0","55","6","20","0","0","2","4","7","10","17","2","1","2","0","8","14","0.3",,"0.5","11","2.8","3.4","0.4","0.2","0.4","2","GS"
"11","Festus Ezeli","25","6","0","35","4","6","0","0","1","2","1","7","8","0","0","3","0","1","9","0.667",,"0.5","5.9","1.5","1.3","0","0","0.5","2","GS"
"12","James Michael McAdoo","22","3","0","5","2","3","0","0","0","0","0","2","2","0","0","1","1","0","4","0.667",,,"1.8","1.3","0.7","0","0","0.3","2","GS"
"13","Justin Holiday","25","3","0","5","1","2","1","1","0","0","0","0","0","0","0","0","0","1","3","0.5","1",,"1.8","1","0","0","0","0","2","GS"
"14","Brandon Rush","29","2","0","4","0","1","0","0","0","0","0","1","1","0","0","0","0","1","0","0",,,"2","0","0.5","0","0","0","2","GS"
"1","Marc Gasol","30","6","6","224","38","101","0","1","39","46","13","54","67","24","8","7","10","21","115","0.376","0","0.848","37.3","19.2","11.2","4","1.3","1.2","2","MEM"
"2","Zach Randolph","33","6","6","206","41","82","1","2","19","21","19","32","51","14","4","0","15","19","102","0.5","0.5","0.905","34.4","17","8.5","2.3","0.7","0","2","MEM"
"3","Mike Conley","27","5","5","164","23","60","7","25","14","18","0","4","4","29","8","0","8","9","67","0.383","0.28","0.778","32.8","13.4","0.8","5.8","1.6","0","2","MEM"
"4","Courtney Lee","29","6","6","199","24","53","8","19","4","4","2","13","15","17","6","0","9","13","60","0.453","0.421","1","33.2","10","2.5","2.8","1","0","2","MEM"
"5","Jeff Green","28","6","1","172","22","56","2","11","6","8","6","18","24","11","3","1","11","8","52","0.393","0.182","0.75","28.6","8.7","4","1.8","0.5","0.2","2","MEM"
"6","Vince Carter","38","6","0","120","16","42","4","17","6","7","8","23","31","8","5","0","7","12","42","0.381","0.235","0.857","20","7","5.2","1.3","0.8","0","2","MEM"
"7","Tony Allen","33","5","5","129","17","38","0","4","4","5","7","11","18","7","12","3","9","12","38","0.447","0","0.8","25.8","7.6","3.6","1.4","2.4","0.6","2","MEM"
"8","Beno Udrih","32","6","0","93","12","34","2","9","3","4","0","8","8","9","5","0","3","9","29","0.353","0.222","0.75","15.5","4.8","1.3","1.5","0.8","0","2","MEM"
"9","Kosta Koufos","25","6","0","65","10","19","0","0","1","2","11","13","24","3","2","2","1","5","21","0.526",,"0.5","10.8","3.5","4","0.5","0.3","0.3","2","MEM"
"10","Jordan Adams","20","3","0","8","2","3","1","1","2","4","0","1","1","0","0","0","0","0","7","0.667","1","0.5","2.8","2.3","0.3","0","0","0","2","MEM"
"11","Jon Leuer","25","2","0","6","2","4","0","0","0","0","2","2","4","0","0","0","0","0","4","0.5",,,"2.9","2","2","0","0","0","2","MEM"
"12","JaMychal Green","24","4","0","7","0","2","0","1","2","2","0","3","3","0","1","1","0","1","2","0","0","1","1.7","0.5","0.8","0","0.3","0.3","2","MEM"
"13","Nick Calathes","25","4","1","43","0","6","0","2","0","2","0","5","5","6","5","0","4","4","0","0","0","0","10.8","0","1.3","1.5","1.3","0","2","MEM"
"14","Russ Smith","23","2","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0",,,,"1.7","0","0","1","0","0","2","MEM"
"1","James Harden","25","7","7","257","47","118","17","48","67","73","3","36","39","57","10","3","35","21","178","0.398","0.354","0.918","36.7","25.4","5.6","8.1","1.4","0.4","2","HOU"
"2","Dwight Howard","29","7","7","236","45","76","0","0","33","85","26","71","97","10","8","15","9","26","123","0.592",,"0.388","33.7","17.6","13.9","1.4","1.1","2.1","2","HOU"
"3","Trevor Ariza","29","7","7","274","39","86","21","51","18","20","5","43","48","17","15","1","13","21","117","0.453","0.412","0.9","39.1","16.7","6.9","2.4","2.1","0.1","2","HOU"
"4","Corey Brewer","28","7","0","177","29","70","4","19","15","26","7","17","24","10","5","2","7","22","77","0.414","0.211","0.577","25.3","11","3.4","1.4","0.7","0.3","2","HOU"
"5","Terrence Jones","23","7","4","161","29","64","1","6","13","18","12","20","32","6","3","5","8","15","72","0.453","0.167","0.722","23","10.3","4.6","0.9","0.4","0.7","2","HOU"
"6","Jason Terry","37","7","7","207","26","59","13","38","6","7","2","17","19","20","7","1","11","19","71","0.441","0.342","0.857","29.6","10.1","2.7","2.9","1","0.1","2","HOU"
"7","Josh Smith","29","7","3","143","24","59","8","23","12","27","12","26","38","10","4","6","9","17","68","0.407","0.348","0.444","20.4","9.7","5.4","1.4","0.6","0.9","2","HOU"
"8","Pablo Prigioni","37","7","0","132","9","27","8","21","3","4","4","8","12","19","6","0","6","20","29","0.333","0.381","0.75","18.9","4.1","1.7","2.7","0.9","0","2","HOU"
"9","Clint Capela","20","7","0","47","7","12","0","0","3","8","8","13","21","2","0","3","1","9","17","0.583",,"0.375","6.8","2.4","3","0.3","0","0.4","2","HOU"
"10","Nick Johnson","22","4","0","21","3","8","1","2","3","3","1","0","1","3","0","0","2","2","10","0.375","0.5","1","5.3","2.5","0.3","0.8","0","0","2","HOU"
"11","Kostas Papanikolaou","24","4","0","15","1","4","0","3","1","2","0","2","2","0","0","0","4","4","3","0.25","0","0.5","3.6","0.8","0.5","0","0","0","2","HOU"
"12","Joey Dorsey","31","3","0","11","0","2","0","0","1","2","1","3","4","1","0","0","1","1","1","0",,"0.5","3.5","0.3","1.3","0.3","0","0","2","HOU"
"1","Blake Griffin","25","7","7","269","76","137","1","4","35","52","19","67","86","34","4","4","26","25","188","0.555","0.25","0.673","38.5","26.9","12.3","4.9","0.6","0.6","2","LAC"
"2","J.J. Redick","30","7","7","266","36","84","20","52","20","20","0","14","14","15","3","4","14","18","112","0.429","0.385","1","38.1","16","2","2.1","0.4","0.6","2","LAC"
"3","Chris Paul","29","5","5","170","37","76","12","30","20","22","5","16","21","50","8","0","10","15","106","0.487","0.4","0.909","34","21.2","4.2","10","1.6","0","2","LAC"
"4","Jamal Crawford","34","7","0","199","34","100","12","44","16","20","6","13","19","15","12","2","10","22","96","0.34","0.273","0.8","28.4","13.7","2.7","2.1","1.7","0.3","2","LAC"
"5","DeAndre Jordan","26","7","7","230","28","39","0","0","39","84","26","68","94","12","14","15","7","26","95","0.718",,"0.464","32.9","13.6","13.4","1.7","2","2.1","2","LAC"
"6","Austin Rivers","22","7","2","151","30","66","11","28","8","11","2","14","16","11","8","4","10","20","79","0.455","0.393","0.727","21.5","11.3","2.3","1.6","1.1","0.6","2","LAC"
"7","Matt Barnes","34","7","7","211","18","51","6","31","12","13","5","31","36","16","8","5","8","29","54","0.353","0.194","0.923","30.2","7.7","5.1","2.3","1.1","0.7","2","LAC"
"8","Spencer Hawes","26","5","0","46","8","11","3","5","2","2","3","8","11","5","2","2","1","11","21","0.727","0.6","1","9.2","4.2","2.2","1","0.4","0.4","2","LAC"
"9","Glen Davis","29","7","0","58","6","15","0","0","4","4","3","4","7","1","3","1","2","13","16","0.4",,"1","8.3","2.3","1","0.1","0.4","0.1","2","LAC"
"10","Lester Hudson","30","6","0","30","4","11","1","5","0","0","0","0","0","5","2","1","3","7","9","0.364","0.2",,"5","1.5","0","0.8","0.3","0.2","2","LAC"
"11","Hedo Turkoglu","35","5","0","30","3","12","2","10","0","0","0","3","3","4","3","1","2","8","8","0.25","0.2",,"6.1","1.6","0.6","0.8","0.6","0.2","2","LAC"
"12","Dahntay Jones","34","6","0","12","1","1","0","0","0","0","0","1","1","0","1","0","0","4","2","1",,,"2","0.3","0.2","0","0.2","0","2","LAC"
"13","Ekpe Udoh","27","3","0","7","1","3","0","0","0","0","0","3","3","0","0","0","0","3","2","0.333",,,"2.4","0.7","1","0","0","0","2","LAC"
"1","LeBron James","30","4","4","153","46","105","5","20","24","33","10","34","44","37","6","2","15","10","121","0.438","0.25","0.727","38.2","30.3","11","9.3","1.5","0.5","3","CLE"
"2","J.R. Smith","29","4","0","135","26","52","16","34","4","5","2","28","30","8","3","3","5","11","72","0.5","0.471","0.8","33.7","18","7.5","2","0.8","0.8","3","CLE"
"3","Tristan Thompson","23","4","4","157","18","28","0","0","11","27","17","27","44","2","0","7","5","11","47","0.643",,"0.407","39.2","11.8","11","0.5","0","1.8","3","CLE"
"4","Timofey Mozgov","28","4","4","106","17","30","0","0","9","11","13","17","30","1","1","5","6","11","43","0.567",,"0.818","26.6","10.8","7.5","0.3","0.3","1.3","3","CLE"
"5","Matthew Dellavedova","24","4","2","124","12","40","7","22","7","9","5","8","13","10","2","0","8","10","38","0.3","0.318","0.778","30.9","9.5","3.3","2.5","0.5","0","3","CLE"
"6","Iman Shumpert","24","4","4","147","13","37","9","21","3","6","4","22","26","7","2","2","4","11","38","0.351","0.429","0.5","36.8","9.5","6.5","1.8","0.5","0.5","3","CLE"
"7","Kyrie Irving","22","2","2","49","10","21","4","6","2","4","2","5","7","11","1","1","3","2","26","0.476","0.667","0.5","24.6","13","3.5","5.5","0.5","0.5","3","CLE"
"8","James Jones","34","4","0","80","6","18","6","16","5","6","1","6","7","6","3","1","0","6","23","0.333","0.375","0.833","19.9","5.8","1.8","1.5","0.8","0.3","3","CLE"
"9","Joe Harris","23","2","0","8","2","5","1","3","2","2","0","1","1","1","0","0","0","1","7","0.4","0.333","1","4.1","3.5","0.5","0.5","0","0","3","CLE"
"10","Mike Miller","34","1","0","5","1","1","1","1","0","0","0","0","0","0","0","0","0","1","3","1","1",,"5.4","3","0","0","0","0","3","CLE"
"11","Kendrick Perkins","30","1","0","5","1","2","0","0","1","2","0","2","2","0","0","0","1","1","3","0.5",,"0.5","5.4","3","2","0","0","0","3","CLE"
"12","Shawn Marion","36","3","0","14","1","4","0","0","0","0","1","3","4","1","0","0","0","0","2","0.25",,,"4.6","0.7","1.3","0.3","0","0","3","CLE"
"13","Brendan Haywood","35","1","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,"2","0","0","0","0","0","3","CLE"
"1","Jeff Teague","26","4","4","140","33","76","7","25","13","13","0","13","13","18","5","4","7","9","86","0.434","0.28","1","35","21.5","3.3","4.5","1.3","1","3","ATL"
"2","Paul Millsap","29","4","4","141","15","43","1","9","24","29","8","23","31","10","3","1","7","15","55","0.349","0.111","0.828","35.4","13.8","7.8","2.5","0.8","0.3","3","ATL"
"3","Al Horford","28","4","4","116","21","36","0","1","2","4","5","14","19","10","1","2","2","7","44","0.583","0","0.5","29","11","4.8","2.5","0.3","0.5","3","ATL"
"4","Kent Bazemore","25","4","2","106","14","29","2","9","13","19","0","21","21","6","4","2","4","7","43","0.483","0.222","0.684","26.4","10.8","5.3","1.5","1","0.5","3","ATL"
"5","Shelvin Mack","24","3","0","66","11","28","5","16","3","6","1","8","9","5","3","0","1","4","30","0.393","0.313","0.5","21.8","10","3","1.7","1","0","3","ATL"
"6","DeMarre Carroll","28","4","4","136","11","34","4","15","2","4","4","11","15","6","5","2","2","11","28","0.324","0.267","0.5","34","7","3.8","1.5","1.3","0.5","3","ATL"
"7","Dennis Schroder","21","4","0","53","10","30","1","8","2","2","1","6","7","10","1","0","3","7","23","0.333","0.125","1","13.3","5.8","1.8","2.5","0.3","0","3","ATL"
"8","Kyle Korver","33","2","2","68","7","16","4","10","3","3","0","8","8","4","1","0","3","5","21","0.438","0.4","1","34.2","10.5","4","2","0.5","0","3","ATL"
"9","Mike Scott","26","3","0","82","7","20","0","12","2","2","6","14","20","5","2","0","5","9","16","0.35","0","1","27.4","5.3","6.7","1.7","0.7","0","3","ATL"
"10","Mike Muscala","23","4","0","37","6","10","0","1","0","0","1","2","3","1","0","1","1","2","12","0.6","0",,"9.2","3","0.8","0.3","0","0.3","3","ATL"
"11","John Jenkins","23","2","0","17","4","5","2","3","0","0","1","2","3","0","0","0","0","2","10","0.8","0.667",,"8.4","5","1.5","0","0","0","3","ATL"
"12","Pero Antic","32","3","0","23","0","2","0","2","1","2","0","8","8","1","1","0","2","6","1","0","0","0.5","7.7","0.3","2.7","0.3","0.3","0","3","ATL"
"13","Elton Brand","35","1","0",,"0","0","0","0","1","2","0","0","0","0","0","0","0","1","1",,,"0.5",,"1","0","0","0","0","3","ATL"
"1","Stephen Curry","26","5","5","184","52","101","27","55","25","31","5","18","23","28","10","1","14","13","156","0.515","0.491","0.806","36.8","31.2","4.6","5.6","2","0.2","3","GS"
"2","Klay Thompson","24","5","5","159","35","84","14","41","5","6","1","12","13","16","5","4","9","21","89","0.417","0.341","0.833","31.7","17.8","2.6","3.2","1","0.8","3","GS"
"3","Draymond Green","24","5","5","191","29","67","4","20","10","13","15","46","61","28","4","9","15","20","72","0.433","0.2","0.769","38.3","14.4","12.2","5.6","0.8","1.8","3","GS"
"4","Harrison Barnes","22","5","5","155","25","62","7","20","2","2","8","15","23","9","6","0","5","12","59","0.403","0.35","1","31","11.8","4.6","1.8","1.2","0","3","GS"
"5","Shaun Livingston","29","5","0","96","14","26","0","0","8","8","3","10","13","10","3","0","7","9","36","0.538",,"1","19.2","7.2","2.6","2","0.6","0","3","GS"
"6","Andre Iguodala","31","5","0","136","14","30","2","8","5","16","4","16","20","21","11","3","5","10","35","0.467","0.25","0.313","27.3","7","4","4.2","2.2","0.6","3","GS"
"7","Festus Ezeli","25","5","0","79","15","25","0","0","4","10","12","18","30","4","1","4","6","13","34","0.6",,"0.4","15.9","6.8","6","0.8","0.2","0.8","3","GS"
"8","Leandro Barbosa","32","5","0","69","10","27","3","10","6","8","2","6","8","8","2","0","0","7","29","0.37","0.3","0.75","13.7","5.8","1.6","1.6","0.4","0","3","GS"
"9","Andrew Bogut","30","5","5","107","12","22","0","0","2","5","13","33","46","10","1","9","8","19","26","0.545",,"0.4","21.5","5.2","9.2","2","0.2","1.8","3","GS"
"10","David Lee","31","4","0","13","2","5","0","0","0","0","2","5","7","0","1","0","1","1","4","0.4",,,"3.2","1","1.8","0","0.3","0","3","GS"
"11","Brandon Rush","29","1","0","4","1","5","1","2","0","0","1","1","2","0","0","0","0","1","3","0.2","0.5",,"3.5","3","2","0","0","0","3","GS"
"12","Justin Holiday","25","1","0","4","0","0","0","0","0","0","0","1","1","1","0","0","2","0","0",,,,"3.5","0","1","1","0","0","3","GS"
"13","James Michael McAdoo","22","1","0","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",,,,"3.5","0","1","0","0","0","3","GS"
"1","James Harden","25","5","5","199","42","90","12","28","46","53","7","32","39","32","12","3","23","13","142","0.467","0.429","0.868","39.7","28.4","7.8","6.4","2.4","0.6","3","HOU"
"2","Josh Smith","29","5","5","125","27","69","10","25","10","24","3","23","26","17","1","7","14","8","74","0.391","0.4","0.417","25","14.8","5.2","3.4","0.2","1.4","3","HOU"
"3","Dwight Howard","29","5","5","176","28","51","0","0","16","39","17","55","72","4","7","9","16","15","72","0.549",,"0.41","35.1","14.4","14.4","0.8","1.4","1.8","3","HOU"
"4","Trevor Ariza","29","5","5","198","23","45","10","23","10","10","8","20","28","12","10","1","5","15","66","0.511","0.435","1","39.6","13.2","5.6","2.4","2","0.2","3","HOU"
"5","Jason Terry","37","5","5","156","17","45","8","27","4","4","3","8","11","17","3","0","5","16","46","0.378","0.296","1","31.3","9.2","2.2","3.4","0.6","0","3","HOU"
"6","Corey Brewer","28","5","0","122","14","41","0","8","14","20","1","6","7","5","4","1","2","12","42","0.341","0","0.7","24.4","8.4","1.4","1","0.8","0.2","3","HOU"
"7","Terrence Jones","23","5","0","112","16","42","1","6","4","7","6","11","17","4","2","7","5","6","37","0.381","0.167","0.571","22.5","7.4","3.4","0.8","0.4","1.4","3","HOU"
"8","Clint Capela","20","5","0","36","5","5","0","0","4","8","3","6","9","1","3","2","0","2","14","1",,"0.5","7.1","2.8","1.8","0.2","0.6","0.4","3","HOU"
"9","Pablo Prigioni","37","5","0","54","3","9","1","6","0","0","0","1","1","8","3","0","3","7","7","0.333","0.167",,"10.9","1.4","0.2","1.6","0.6","0","3","HOU"
"10","Nick Johnson","22","2","0","19","1","6","0","3","0","0","0","0","0","0","0","1","2","4","2","0.167","0",,"9.3","1","0","0","0","0.5","3","HOU"
"11","Kostas Papanikolaou","24","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0",,,,"3.5","0","0","0","0","0","3","HOU"
"1","Stephen Curry","26","6","6","255","54","122","25","65","23","26","5","26","31","38","11","1","28","13","156","0.443","0.385","0.885","42.5","26","5.2","6.3","1.8","0.2","4","GS"
"2","Andre Iguodala","31","6","3","222","37","71","14","35","10","28","6","29","35","24","8","2","6","18","98","0.521","0.4","0.357","37.1","16.3","5.8","4","1.3","0.3","4","GS"
"3","Klay Thompson","24","6","6","227","36","88","12","40","11","12","2","24","26","10","3","6","5","20","95","0.409","0.3","0.917","37.9","15.8","4.3","1.7","0.5","1","4","GS"
"4","Draymond Green","24","6","6","222","24","63","5","19","25","34","8","42","50","30","13","7","13","28","78","0.381","0.263","0.735","37","13","8.3","5","2.2","1.2","4","GS"
"5","Harrison Barnes","22","6","6","198","19","51","8","19","7","9","18","17","35","5","5","3","4","17","53","0.373","0.421","0.778","32.9","8.8","5.8","0.8","0.8","0.5","4","GS"
"6","Leandro Barbosa","32","6","0","64","12","26","3","7","4","4","2","8","10","3","3","1","4","7","31","0.462","0.429","1","10.7","5.2","1.7","0.5","0.5","0.2","4","GS"
"7","Shaun Livingston","29","6","0","120","12","25","0","1","6","8","5","16","21","13","2","2","6","11","30","0.48","0","0.75","20.1","5","3.5","2.2","0.3","0.3","4","GS"
"8","Festus Ezeli","25","5","0","50","7","15","0","0","8","11","7","10","17","2","0","3","4","9","22","0.467",,"0.727","10","4.4","3.4","0.4","0","0.6","4","GS"
"9","David Lee","31","4","0","39","8","15","0","0","6","11","2","8","10","6","1","0","1","8","22","0.533",,"0.545","9.7","5.5","2.5","1.5","0.3","0","4","GS"
"10","Andrew Bogut","30","4","3","74","4","9","0","0","2","4","5","19","24","6","1","5","4","11","10","0.444",,"0.5","18.4","2.5","6","1.5","0.3","1.3","4","GS"
"11","Marreese Speights","27","3","0","16","4","13","0","0","1","2","3","2","5","1","1","0","1","3","9","0.308",,"0.5","5.3","3","1.7","0.3","0.3","0","4","GS"
"12","Justin Holiday","25","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"2.1","0","0","0","0","0","4","GS"
"13","James Michael McAdoo","22","1","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0",,,,"1.2","0","1","0","0","0","4","GS"
"1","LeBron James","30","6","6","274","78","196","13","42","46","67","11","69","80","53","8","3","21","19","215","0.398","0.31","0.687","45.7","35.8","13.3","8.8","1.3","0.5","4","CLE"
"2","Timofey Mozgov","28","6","6","170","27","49","0","0","30","40","18","27","45","6","3","9","15","13","84","0.551",,"0.75","28.3","14","7.5","1","0.5","1.5","4","CLE"
"3","J.R. Smith","29","6","0","202","24","77","15","51","6","10","2","24","26","6","3","5","4","19","69","0.312","0.294","0.6","33.6","11.5","4.3","1","0.5","0.8","4","CLE"
"4","Tristan Thompson","23","6","6","247","24","48","0","0","12","20","32","46","78","2","4","6","5","16","60","0.5",,"0.6","41.1","10","13","0.3","0.7","1","4","CLE"
"5","Matthew Dellavedova","24","6","5","191","15","53","6","26","9","11","4","12","16","16","7","0","15","19","45","0.283","0.231","0.818","31.8","7.5","2.7","2.7","1.2","0","4","CLE"
"6","Iman Shumpert","24","6","6","215","11","43","8","25","9","14","6","17","23","4","11","4","7","19","39","0.256","0.32","0.643","35.9","6.5","3.8","0.7","1.8","0.7","4","CLE"
"7","Kyrie Irving","22","1","1","44","10","22","2","8","1","1","2","5","7","6","4","2","1","5","23","0.455","0.25","1","43.6","23","7","6","4","2","4","CLE"
"8","James Jones","34","6","0","113","6","19","4","13","4","4","0","8","8","2","4","1","4","19","20","0.316","0.308","1","18.8","3.3","1.3","0.3","0.7","0.2","4","CLE"
"9","Mike Miller","34","5","0","28","1","2","1","2","0","0","0","1","1","0","1","0","1","3","3","0.5","0.5",,"5.7","0.6","0.2","0","0.2","0","4","CLE"
"10","Kendrick Perkins","30","1","0","3","0","2","0","0","2","2","0","1","1","0","0","0","0","1","2","0",,"1","3.1","2","1","0","0","0","4","CLE"
"11","Joe Harris","23","2","0","3","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1",,,"0.5","1.6","0.5","0","0","0","0","4","CLE"
